iter	Logloss
0	0.6441389453
5	0.5211989475
10	0.4545877195
15	0.4129146761
20	0.3911593035
25	0.3809097484
30	0.3699114453
35	0.3627106908
40	0.3568725663
45	0.352057195
50	0.3501279502
55	0.3477173226
60	0.3454769951
65	0.343397008
70	0.3412238998
75	0.3400605612
80	0.3383801759
85	0.3373566009
90	0.3366521289
95	0.3355225478
100	0.3341014747
105	0.3337922328
110	0.3327550496
115	0.3321915246
120	0.3314972423
125	0.3311136482
130	0.3308778053
135	0.330605345
140	0.3297224869
145	0.3295019943
150	0.3291688558
155	0.3288427187
160	0.3287512412
165	0.3282021461
170	0.3278803478
175	0.3275529288
180	0.3274568166
185	0.3269913431
190	0.3268626566
195	0.326694033
200	0.3266338478
205	0.3263673699
210	0.3261925996
215	0.3261110817
220	0.3259594848
225	0.3258838836
230	0.3256446879
235	0.3253882025
240	0.3253536889
245	0.3253339339
250	0.3251513734
255	0.3249105342
260	0.3248143891
265	0.3247149571
270	0.3246034945
275	0.3245772642
280	0.3245209906
285	0.3243350773
290	0.3242465581
295	0.3241713842
300	0.3240518685
305	0.3240301742
310	0.323981888
315	0.3239625933
320	0.3238187866
325	0.3238075779
330	0.3237850619
335	0.3237419034
340	0.3237214911
345	0.323640795
350	0.3235624984
355	0.3235046142
360	0.3234553419
365	0.3234223732
370	0.3233598542
375	0.3232955932
380	0.3232395497
385	0.3231770965
390	0.3231396574
395	0.3231227293
400	0.3230887745
405	0.3230225741
410	0.3230023919
415	0.3229586747
420	0.3228834679
425	0.3228636801
430	0.3228334067
435	0.3228146707
440	0.3228078666
445	0.32273312
450	0.3227178683
455	0.322703767
460	0.3226892713
465	0.3226696479
470	0.3226394402
475	0.3226265223
480	0.322567882
485	0.3225171635
490	0.3224596079
495	0.3224409706
499	0.322430978
