iter	Passed	Remaining
0	312	155884
1	606	151095
2	889	147362
3	1119	138819
4	1351	133765
5	1607	132339
6	1852	130444
7	2068	127198
8	2319	126528
9	2569	125883
10	2845	126481
11	3093	125806
12	3337	125045
13	3582	124371
14	3835	124023
15	4075	123298
16	4304	122287
17	4545	121731
18	4803	121595
19	5027	120653
20	5302	120955
21	5546	120511
22	5768	119630
23	6011	119237
24	6260	118949
25	6493	118389
26	6733	117962
27	6991	117850
28	7228	117395
29	7472	117076
30	7706	116595
31	7936	116072
32	8192	115930
33	8433	115585
34	8643	114832
35	8903	114762
36	9145	114442
37	9341	113567
38	9578	113225
39	9786	112543
40	10033	112322
41	10257	111857
42	10507	111668
43	10758	111495
44	10971	110939
45	11130	109854
46	11381	109698
47	11613	109359
48	11876	109313
49	12127	109144
50	12377	108972
51	12609	108636
52	12850	108382
53	13054	107821
54	13364	108133
55	13598	107816
56	13842	107584
57	14077	107277
58	14316	107012
59	14566	106818
60	14829	106722
61	15090	106609
62	15325	106306
63	15567	106054
64	15814	105836
65	16065	105642
66	16358	105719
67	16618	105573
68	16844	105214
69	17111	105112
70	17340	104775
71	17602	104639
72	17838	104341
73	18100	104200
74	18351	103992
75	18632	103948
76	18860	103612
77	19098	103329
78	19361	103181
79	19608	102945
80	19862	102746
81	20052	102220
82	20282	101903
83	20520	101625
84	20800	101554
85	21004	101115
86	21254	100895
87	21492	100624
88	21750	100444
89	22012	100278
90	22268	100083
91	22495	99760
92	22755	99587
93	23013	99399
94	23259	99160
95	23507	98926
96	23798	98875
97	24048	98648
98	24337	98580
99	24557	98231
100	24822	98062
101	25132	98067
102	25382	97833
103	25611	97520
104	25846	97233
105	26071	96907
106	26297	96589
107	26544	96345
108	26769	96027
109	27001	95733
110	27249	95497
111	27523	95348
112	27779	95140
113	28033	94920
114	28278	94669
115	28451	94182
116	28703	93961
117	28969	93783
118	29213	93530
119	29437	93217
120	29718	93084
121	29993	92931
122	30281	92813
123	30544	92618
124	30736	92209
125	30965	91912
126	31260	91813
127	31523	91616
128	31756	91329
129	32031	91167
130	32328	91063
131	32612	90918
132	32855	90660
133	33087	90373
134	33337	90135
135	33581	89878
136	33828	89632
137	34117	89497
138	34363	89246
139	34607	88991
140	34848	88726
141	35108	88512
142	35397	88369
143	35648	88131
144	35785	87613
145	36032	87366
146	36296	87161
147	36576	86991
148	36859	86830
149	37117	86607
150	37387	86412
151	37638	86172
152	37850	85843
153	38129	85666
154	38398	85468
155	38675	85283
156	38936	85065
157	39191	84831
158	39486	84684
159	39671	84302
160	39927	84070
161	40165	83801
162	40428	83584
163	40704	83394
164	40997	83237
165	41280	83057
166	41526	82805
167	41808	82622
168	42083	82423
169	42255	82024
170	42521	81810
171	42755	81533
172	43012	81300
173	43274	81078
174	43543	80865
175	43809	80648
176	44022	80334
177	44273	80090
178	44534	79863
179	44804	79653
180	45084	79457
181	45376	79283
182	45633	79048
183	45862	78763
184	46091	78480
185	46361	78265
186	46641	78068
187	46814	77692
188	47052	77425
189	47299	77172
190	47548	76923
191	47830	76728
192	48101	76513
193	48359	76278
194	48477	75823
195	48741	75599
196	48875	75173
197	49118	74917
198	49377	74687
199	49641	74461
200	49883	74204
201	49973	73722
202	50211	73462
203	50434	73179
204	50696	72953
205	50958	72726
206	51207	72482
207	51470	72256
208	51734	72032
209	51995	71802
210	52245	71559
211	52513	71339
212	52788	71128
213	53050	70899
214	53327	70689
215	53548	70406
216	53807	70173
217	54079	69956
218	54321	69700
219	54510	69376
220	54647	68989
221	54925	68781
222	55183	68546
223	55482	68361
224	55748	68137
225	56015	67912
226	56269	67671
227	56511	67416
228	56803	67222
229	57084	67012
230	57347	66781
231	57590	66526
232	57838	66278
233	58098	66043
234	58364	65815
235	58621	65576
236	58862	65319
237	59108	65069
238	59377	64842
239	59656	64627
240	59936	64412
241	60234	64216
242	60380	63859
243	60666	63649
244	60953	63441
245	61226	63217
246	61470	62963
247	61700	62695
248	61975	62473
249	62218	62218
250	62448	61950
251	62731	61736
252	62986	61492
253	63263	61270
254	63487	60997
255	63739	60751
256	63993	60507
257	64233	60249
258	64516	60032
259	64804	59819
260	65095	59608
261	65416	59423
262	65732	59234
263	65993	58993
264	66272	58769
265	66557	58550
266	66841	58329
267	67106	58092
268	67377	57859
269	67671	57646
270	67948	57418
271	68211	57177
272	68452	56918
273	68728	56688
274	68992	56448
275	69286	56232
276	69575	56011
277	69861	55788
278	70189	55598
279	70469	55369
280	70827	55199
281	71131	54988
282	71408	54754
283	71726	54552
284	72042	54347
285	72389	54165
286	72680	53940
287	72957	53704
288	73240	53473
289	73482	53211
290	73758	52973
291	74053	52750
292	74422	52578
293	74772	52391
294	75139	52215
295	75503	52036
296	75878	51863
297	76199	51652
298	76539	51452
299	76884	51256
300	77205	51043
301	77503	50813
302	77832	50604
303	78177	50403
304	78553	50222
305	78944	50049
306	79304	49855
307	79672	49666
308	79957	49423
309	80244	49182
310	80525	48936
311	80808	48692
312	81150	48482
313	81431	48236
314	81738	48005
315	82043	47771
316	82314	47519
