iter	Logloss
0	0.5862293424
1	0.5106931468
2	0.4607240513
3	0.4228690872
4	0.3978148189
5	0.3779347445
6	0.3640339525
7	0.3534571238
8	0.344273488
9	0.3375051056
10	0.3317968833
11	0.327710412
12	0.3244745701
13	0.3216958444
14	0.3190433526
15	0.3171658059
16	0.3153983849
17	0.3139312127
18	0.3123184891
19	0.311461671
20	0.3104744705
21	0.3097132569
22	0.3088226159
23	0.3082459443
24	0.3076476992
25	0.3072187563
26	0.3068104676
27	0.3064385116
28	0.3061192803
29	0.3058291184
30	0.305377275
31	0.3050981332
32	0.3047493707
33	0.3045085526
34	0.3043128258
35	0.3040600995
36	0.3039158255
37	0.3037156178
38	0.3035595946
39	0.3034490715
40	0.3032666384
41	0.303119104
42	0.3030323521
43	0.3029462335
44	0.302828135
45	0.3027478385
46	0.302681886
47	0.3026068423
48	0.3025154786
49	0.3024442259
50	0.3023681486
51	0.3022666471
52	0.3021658192
53	0.3020967814
54	0.3019963752
55	0.3019388547
56	0.3018480992
57	0.3017870853
58	0.3017159858
59	0.3016282032
60	0.301578247
61	0.3015265576
62	0.3014699733
63	0.301399376
64	0.301336557
65	0.3012859808
66	0.3012278993
67	0.3011930344
68	0.3010825734
69	0.3010214123
70	0.3009517497
71	0.3009080125
72	0.3008536471
73	0.300796878
74	0.3007704659
75	0.3007209577
76	0.3006822024
77	0.3006393842
78	0.3005783393
79	0.3005375889
80	0.3005048921
81	0.3004779183
82	0.3004541721
83	0.3004155718
84	0.3003384933
85	0.3003065069
86	0.3002689271
87	0.3002142648
88	0.300180998
89	0.3001432666
90	0.3001137165
91	0.3000875545
92	0.3000265662
93	0.2999900048
94	0.2999620191
95	0.2999405975
96	0.2998999977
97	0.2998530289
98	0.299823963
99	0.2997705189
100	0.2997147748
101	0.2996940167
102	0.2996443192
103	0.2996039439
104	0.2995561587
105	0.2995230534
106	0.2994976374
107	0.2994829999
108	0.2994455872
109	0.2994259502
110	0.2994088736
111	0.2993676462
112	0.2993498896
113	0.299325523
114	0.2992763421
115	0.2992276531
116	0.2991982415
117	0.2991598263
118	0.2991130743
119	0.2990838189
120	0.2990618964
121	0.2990374712
122	0.2990068528
123	0.2989771419
124	0.298945469
125	0.2989241561
126	0.2988770879
127	0.2988432608
128	0.2988008458
129	0.2987720603
130	0.2987240211
131	0.2986748126
132	0.2986529783
133	0.2986143198
134	0.2985968063
135	0.2985830403
136	0.298548804
137	0.2985009557
138	0.2984779201
139	0.2984618043
140	0.2984371361
141	0.2984048875
142	0.2983778027
143	0.2983364408
144	0.2982932519
145	0.2982664318
146	0.2982368183
147	0.2981980459
148	0.2981610755
149	0.2981396853
150	0.2981069281
151	0.2980725227
152	0.2980298927
153	0.2980103432
154	0.2979856242
155	0.2979466511
156	0.297928243
157	0.2979112904
158	0.2978694494
159	0.2978460645
160	0.2978155758
161	0.2977867809
162	0.2977699001
163	0.2977493495
164	0.2977061434
165	0.2976699548
166	0.2976379726
167	0.2976162427
168	0.2975920442
169	0.2975738325
170	0.2975578842
171	0.2975232505
172	0.297490188
173	0.2974741889
174	0.2974444586
175	0.2974194881
176	0.297386264
177	0.2973665115
178	0.2973415779
179	0.2973213414
180	0.29730712
181	0.2972830729
182	0.2972480059
183	0.2972335997
184	0.2972063691
185	0.2971883864
186	0.2971555419
187	0.2971414416
188	0.2971173525
189	0.2970805079
190	0.2970535595
191	0.2970321059
192	0.2970118782
193	0.2969852301
194	0.2969709964
195	0.2969465828
196	0.2969340743
197	0.2969034372
198	0.2968797519
199	0.2968535976
200	0.2968234689
201	0.2968000936
202	0.2967705164
203	0.2967401349
204	0.2967099076
205	0.2966911838
206	0.2966699978
207	0.2966467203
208	0.296611379
209	0.2965893768
210	0.2965661326
211	0.2965403949
212	0.2965186207
213	0.2964964369
214	0.2964848929
215	0.29646297
216	0.2964452349
217	0.296424462
218	0.2964001668
219	0.2963841943
220	0.2963619086
221	0.2963517362
222	0.2963383425
223	0.2963224972
224	0.2963025538
225	0.2962783998
226	0.2962484706
227	0.2962278043
228	0.2962028916
229	0.2961869865
230	0.296169513
231	0.2961487481
232	0.2961310973
233	0.2961133608
234	0.296099357
235	0.2960735641
236	0.2960564012
237	0.2960309174
238	0.2960113825
239	0.296000032
240	0.2959749392
241	0.2959557312
242	0.2959421729
243	0.2959214666
244	0.2959006585
245	0.2958754749
246	0.2958550038
247	0.2958375566
248	0.2958195391
249	0.2958036714
250	0.295782402
251	0.2957689236
252	0.295744542
253	0.295723036
254	0.2956991059
255	0.2956857797
256	0.2956700916
257	0.2956512077
258	0.2956339033
259	0.2956235863
260	0.2955953405
261	0.2955745822
262	0.2955547111
263	0.2955423769
264	0.2955248364
265	0.2955119678
266	0.2954968126
267	0.2954781013
268	0.2954572205
269	0.2954423809
270	0.2954256257
271	0.2954100745
272	0.2953875808
273	0.2953680705
274	0.295355308
275	0.2953434962
276	0.2953235288
277	0.2953111842
278	0.2952910435
279	0.2952757404
280	0.295257878
281	0.2952379361
282	0.2952246579
283	0.2952061561
284	0.295187147
285	0.2951729963
286	0.2951533823
287	0.2951347954
288	0.2951180821
289	0.2951061429
290	0.2950859527
291	0.2950736418
292	0.2950614768
293	0.2950439167
294	0.2950163423
295	0.2949984626
296	0.2949844758
297	0.294971079
298	0.2949555022
299	0.2949418404
