iter	Passed	Remaining
0	38	11472
1	76	11402
2	119	11873
3	161	11943
4	196	11607
5	234	11478
6	282	11836
7	329	12012
8	373	12067
9	414	12009
10	448	11776
11	482	11589
12	515	11390
13	549	11231
14	589	11205
15	625	11104
16	664	11067
17	700	10976
18	735	10876
19	771	10799
20	804	10685
21	839	10612
22	872	10506
23	909	10457
24	940	10340
25	973	10261
26	1005	10163
27	1041	10120
28	1078	10081
29	1124	10118
30	1166	10123
31	1207	10115
32	1245	10079
33	1289	10086
34	1334	10104
35	1373	10074
36	1425	10134
37	1479	10198
38	1518	10161
39	1562	10153
40	1611	10179
41	1668	10250
42	1734	10367
43	1772	10315
44	1812	10270
45	1890	10437
46	1963	10570
47	2156	11323
48	2222	11382
49	2336	11682
50	2391	11675
51	2463	11748
52	2535	11814
53	2606	11874
54	2668	11888
55	2713	11824
56	2771	11815
57	2827	11798
58	2879	11761
59	2919	11678
60	3000	11755
61	3047	11697
62	3106	11685
63	3161	11658
64	3216	11627
65	3262	11566
66	3299	11473
67	3350	11431
68	3399	11381
69	3465	11385
70	3505	11306
71	3578	11333
72	3620	11257
73	3693	11279
74	3734	11204
75	3786	11159
76	3819	11060
77	3863	10996
78	3909	10935
79	3963	10900
80	4007	10834
81	4054	10777
82	4100	10720
83	4141	10649
84	4193	10607
85	4240	10552
86	4291	10505
87	4336	10447
88	4389	10406
89	4432	10343
90	4485	10302
91	4527	10235
92	4576	10186
93	4616	10117
94	4666	10070
95	4702	9993
96	4744	9929
97	4802	9898
98	4839	9826
99	4897	9795
100	4936	9726
101	4979	9665
102	5019	9601
103	5061	9538
104	5107	9485
105	5143	9412
106	5192	9365
107	5228	9294
108	5267	9229
109	5309	9170
110	5347	9105
111	5396	9058
112	5435	8995
113	5484	8948
114	5526	8890
115	5570	8836
116	5624	8797
117	5668	8742
118	5719	8699
119	5764	8646
120	5815	8603
121	5859	8549
122	5924	8525
123	5962	8462
124	6007	8410
125	6049	8354
126	6094	8302
127	6147	8260
128	6188	8203
129	6224	8140
130	6269	8088
131	6313	8035
132	6352	7976
133	6394	7921
134	6428	7856
135	6476	7810
136	6517	7754
137	6554	7694
138	6597	7641
139	6635	7583
140	6677	7529
141	6732	7491
142	6781	7445
143	6843	7413
144	6889	7364
145	6928	7308
146	6987	7272
147	7046	7236
148	7104	7199
149	7159	7159
150	7204	7109
151	7259	7068
152	7319	7032
153	7378	6995
154	7418	6939
155	7462	6888
156	7505	6836
157	7542	6778
158	7582	6723
159	7625	6672
160	7663	6616
161	7712	6569
162	7751	6515
163	7792	6462
164	7836	6411
165	7881	6361
166	7921	6308
167	7963	6257
168	8006	6206
169	8054	6159
170	8089	6102
171	8134	6053
172	8178	6003
173	8213	5947
174	8254	5896
175	8294	5844
176	8331	5789
177	8374	5739
178	8411	5685
179	8451	5634
180	8499	5588
181	8536	5534
182	8573	5481
183	8617	5432
184	8656	5381
185	8707	5336
186	8747	5285
187	8786	5234
188	8838	5191
189	8878	5140
190	8920	5090
191	8966	5043
192	9006	4993
193	9054	4947
194	9089	4894
195	9133	4846
196	9176	4798
197	9216	4747
198	9284	4712
199	9334	4667
200	9380	4620
201	9426	4573
202	9476	4528
203	9527	4483
204	9570	4435
205	9612	4386
206	9660	4340
207	9697	4289
208	9734	4238
209	9776	4189
210	9811	4138
211	9851	4089
212	9894	4041
213	9931	3991
214	9968	3941
215	10016	3895
216	10054	3845
217	10098	3798
218	10135	3748
219	10172	3698
220	10215	3651
221	10250	3601
222	10287	3552
223	10331	3505
224	10373	3457
225	10415	3410
226	10458	3363
227	10496	3314
228	10540	3267
229	10582	3220
230	10622	3172
231	10666	3126
232	10709	3079
233	10747	3031
234	10792	2985
235	10831	2937
236	10875	2890
237	10920	2844
238	10957	2796
239	10995	2748
240	11044	2703
241	11080	2655
242	11125	2609
243	11179	2565
244	11223	2519
245	11279	2475
246	11320	2428
247	11368	2383
248	11456	2346
249	11506	2301
250	11555	2255
251	11595	2208
252	11634	2161
253	11681	2115
254	11717	2067
255	11754	2020
256	11807	1975
257	11845	1928
258	11887	1881
259	11928	1835
260	11966	1788
261	12012	1742
262	12050	1695
263	12092	1648
264	12168	1607
265	12220	1561
266	12261	1515
267	12305	1469
268	12344	1422
269	12402	1378
270	12468	1334
271	12519	1288
272	12577	1243
273	12621	1197
274	12664	1151
275	12707	1104
276	12744	1058
277	12791	1012
278	12832	965
279	12869	919
280	12916	873
281	12953	826
282	12992	780
283	13038	734
284	13073	688
285	13111	641
286	13155	595
287	13190	549
288	13227	503
289	13265	457
290	13302	411
291	13339	365
292	13379	319
293	13417	273
294	13458	228
295	13501	182
296	13552	136
297	13599	91
298	13637	45
299	13686	0
